User,Health factor,Borrowing in USD,Risk adjusted collateral in USD,Collateral,Borrowings
0x278bd...a0805,0.9393623122183516460421053832,274.8595419569999697588262855,258.1926948680045295932712128,ETH: 0.1707,USDC: 274.5850
0x3607c...b178d,0.9420219093371991237610041992,124.3945442739999863136022284,117.1823861081242175029556815,ETH: 0.0775,USDC: 124.2703
0x4970f...e8e9b,0.9440019935171965003483252411,139.0348039079999847028208393,131.2491320574244882112656307,ETH: 0.0868,USDC: 138.8959
0x20751...e31d2,0.9457180417897304785350729024,134.7379433399999851755790559,127.4241039302804433910073930,ETH: 0.0842,USDC: 134.6033
0x1ecca...fb6a5,0.9464563018616640984360677105,109.6921035209999879312250393,103.8187826419124718844101562,ETH: 0.0686,USDC: 109.5825
0x2878d...e69f7,0.9508709408681420034535258430,255.1190772129999719307531514,242.5853169829374503406774118,ETH: 0.1604,USDC: 254.8642
0x79f79...dff6b,0.9524344422755369154452696740,877.1037775499999034974463186,835.3838471886007545791650776,ETH: 0.5523,USDC: 876.2276
0x374f3...453c2,0.9732830145722027021670672270,116.8419692439999871445674984,113.7203040543528994319640623,"ETH: 0.0476, USDC: 52.1837",USDC: 116.7252
0x3f148...caa25,0.9760590624497459035219264261,371.7147954519999591024141949,362.8155947475781526385685504,ETH: 0.2399,USDC: 371.3435
0x51dd3...11f22,0.9761997013236222760551833866,190.0210862549999790931010146,185.4985276473212457780128783,"ETH: 0.0505, USDT: 155.8380",USDC: 189.8313
0x4c7e1...8e454,0.9799247280861987546147145392,127.4392429309999859786119991,124.8808654766711880577894393,ETH: 0.0826,USDC: 127.3119
0x3a769...77b09,0.9799939182930685323717904553,155.6643818729999828731664913,152.5501475303897635678893737,ETH: 0.1009,USDC: 155.5089
0x56e29...b6d97,0.9807114241125060564588603945,355.0470443519999609362685078,348.1986924933859817551698798,"ETH: 0.2281, USDC: 4.0350",USDC: 354.6924
0x4d233...bd1bb,0.9808852604607530796665738916,100.1521140619999889808537930,98.23773248739991030066638404,"ETH: 0.0540, wBTC: 0.0004, USDC: 10.2811",USDC: 100.0521
0x3a6db...a1c45,0.9826811985904074177749881701,109.5399744060700250077323480,107.6428733429194440787144799,DAI: 153.6219,ETH: 0.0579
0x347a3...d7151,0.9830350749002173594827648831,552.2605808719999392380266556,542.8915214819440066558587542,ETH: 0.3589,USDC: 551.7089
0x745c3...51b8a,0.9830711433366622519385940850,106.8485520741400268945994351,105.0397282513917311389827265,DAI: 149.9068,ETH: 0.0565
0x3c16e...41220,0.9833241783808228598156937933,153.7415650543962438664377980,151.1777981400960142628081980,DAI: 215.7525,ETH: 0.0813
0x6edf6...e557c,0.9842299175817237902287327487,162.4490973247734415657201853,159.8872616711871910510366239,DAI: 228.1822,ETH: 0.0859
0x18b52...93dad,0.9866790970315280997012790017,179.0746252479957193598223494,176.6891895409517000766029168,DAI: 252.1610,ETH: 0.0947
