User,Protocol,Borrowing in USD,Risk adjusted collateral in USD,Health factor,Standardized health factor,Collateral,Borrowings
0x6b0a281f1342105f5d8cda57d1f60cbff1f0dee62d5ca3f3efb87bc0bff86b5,Nostra,2.475788936426550535729887442,1.378784000000000014551915228,0.5569069235724426340801800648,0.5569069235724426340801800648,"ETH: 0.0010, ","ETH: 0.0014, "
0xb4bd9b391a55fce3f13af24a0a836df6a98b2349d05273cc4df6976dc12079,Nostra,0.2790296190794276065849249216,0.2199000484862999934587035611,0.7880885520748390728742676102,0.7880885520748390728742676102,"USDC: 0.2444, ","ETH: 0.0002, "
0x4cb21d3c5a36d9088f4d01b372e7ebb465aa46a43f6a5d0d60808ea09ab8c7c,Nostra,1.377520535986028687898580419,1.088664567001199967615843178,0.7903073228755419424685620434,0.7903073228755419424685620434,"USDC: 1.2098, ","ETH: 0.0008, "
0x1941cdd492b9b98cbcc58e6c2804c9836e8644584bcfe4686ef153d8ad834a6,Nostra,1.938981090586632057904328321,1.540913857055999954162928134,0.7947028800522246290784584244,0.7947028800522246290784584244,"USDC: 1.7123, ","ETH: 0.0011, "
0x3e04d24b4ab57e988301a6d825d1b55175c5ea4c5533c7445e969ef66a5080f,Nostra,1.938717486989513224061546205,1.541038942919699954159207245,0.7948754541398716103630775078,0.7948754541398716103630775078,"USDC: 1.7125, ","ETH: 0.0011, "
0x39851d5d4ff307d042e026705c680e6c27e62b883d40fc343426625ec3fbc11,Nostra,1.941017897691747844885825121,1.542867536265299954104812663,0.7948754816223348571937357225,0.7948754816223348571937357225,"USDC: 1.7145, ","ETH: 0.0011, "
0x1d5697f77b4cdbd4039d1122e3e9085c39fd3dc99c9caa36ed33d8954e0a516,Nostra,2.162161303867490866979809342,1.718649170695799948875892582,0.7948755569816303676621851056,0.7948755569816303676621851056,"USDC: 1.9098, ","ETH: 0.0013, "
0x31b8e0a674a35d7f1df33b44b2e85528f24e1527869f706d428cda3eb4d1aed,Nostra,1.963816304800308382646443295,1.560989688230699953565738802,0.7948756125585941452056859140,0.7948756125585941452056859140,"USDC: 1.7346, ","ETH: 0.0011, "
0x2708ba50241409be30d319fa6f09b6b035f874b7962946f53f7d07f90b8c334,Nostra,1.947127624605190473910308193,1.547724287390399953960340440,0.7948756249114510009234130366,0.7948756249114510009234130366,"USDC: 1.7199, ","ETH: 0.0011, "
0x3f5af8eec83a2e6b2119631b4f4d2c1c8e64d45f72fc4787eaa9b306b2dd22b,Nostra,1.952842545115826397370624413,1.552266974008799953825210594,0.7948756431444565704718042797,0.7948756431444565704718042797,"USDC: 1.7249, ","ETH: 0.0011, "
0x5537510af850ba46777baa26b8cee4b7d90743644ae92a230b8044b77ef185d,Nostra,1.940190609670498818397093786,1.542210610506299954124354024,0.7948758244779941891984712738,0.7948758244779941891984712738,"USDC: 1.7138, ","ETH: 0.0011, "
0x785e9e355289c45f90a1a12ccf5a21ddd10aa8d9c1303d225977a8b1249ce50,Nostra,1.924167646422786719307984772,1.529474349866399954503215497,0.7948758273271252224403943824,0.7948758273271252224403943824,"USDC: 1.6996, ","ETH: 0.0011, "
0x64be88d866e392996afc3bcd140f1bbae222b9083eb7fe8a2cb25f4c3702b16,Nostra,1.965429906346036431463473513,1.562272943206499953527566227,0.7948759394380782969465193045,0.7948759394380782969465193045,"USDC: 1.7361, ","ETH: 0.0011, "
0xd17418197d439fb55b894eb60e394810d79444acdcd2f1b2612e6dc423c47d,Nostra,1.330523873614983114722569843,1.091782714610699967523088638,0.8205660463982262605171028667,0.8205660463982262605171028667,"USDC: 1.2132, ","ETH: 0.0008, "
0x57bbf6f66239b3fe9fbc08e775c0251eaf1702c60bd741b8783f7e2644913dc,Nostra,5.338723790984355444665777173,4.499156737832399866165022928,0.8427401217928234565661912587,0.8427401217928234565661912587,"USDC: 4.9996, ","ETH: 0.0031, "
0x7625adf73f4ee3ebe011192eca44dae0ef6da3a0b57c9dfd64af452dd9da0ec,Nostra,5.338698073350886977505505745,4.499146838951099866165317387,0.8427423272744033596020230033,0.8427423272744033596020230033,"USDC: 4.9996, ","ETH: 0.0031, "
0x481ee0d019e07cc273f931645185c2d85c0d67aaca7f0cf7c70dd875cc61307,Nostra,0.7966789651029999763014455283,0.6890308378942301722321458494,0.8648789136853232526591656675,0.8648789136853232526591656675,"ETH: 0.0005, ","USDC: 0.7968, "
0x4d55c09c3bde041851d2eb13f0a8cee879f4ae6abc45f2ca904665c0a7cb282,Nostra,3.185150037369999905252360151,2.756120350548627499232551724,0.8653031468572120569404794357,0.8653031468572120569404794357,"ETH: 0.0020, ","USDC: 3.1855, "
0x633de6aeeadd6eb443ffd6edb9b77178d8887f813e0e65530676ae8361ef951,Nostra,0.2116110852449999937052727006,0.1832605635787027120781624112,0.8660253472379601827392717242,0.8660253472379601827392717242,"ETH: 0.0001, ","USDC: 0.2116, "
0x30b15aa206e5e916a7c58f96d8aa39c5c91f90871bcf9922298308dbe6ef5e9,Nostra,0.3181030502929999905374902625,0.2756116113085493823328507001,0.8664224095137963139424122684,0.8664224095137963139424122684,"ETH: 0.0002, ","USDC: 0.3181, "
